=== BASE DE DONNEES : AIDE FINITION 501 ===
Format : Score | Flechette_1 | Flechette_2 | Flechette_3
159|T13|T20|T20
158|T16|T20|BULL
157|T19|T20|D20
156|T12|T20|T20
155|T15|T20|BULL
154|T18|T20|D20
153|T11|T20|T20
152|T14|T20|BULL
151|T17|T20|D20
150|T10|T20|T20
149|T13|T20|BULL
148|T16|T20|D20
147|T9|T20|T20
146|T12|T20|BULL
145|T15|T20|D20
144|T8|T20|T20
143|T11|T20|BULL
142|T14|T20|D20
141|T7|T20|T20
140|T10|T20|BULL
139|T13|T20|D20
138|T6|T20|T20
137|T9|T20|BULL
136|T12|T20|D20
135|T5|T20|T20
134|T8|T20|BULL
133|T11|T20|D20
132|T4|T20|T20
131|T7|T20|BULL
130|T10|T20|D20
129|T3|T20|T20
128|T6|T20|BULL
127|T9|T20|D20
126|T2|T20|T20
125|T5|T20|BULL
124|T8|T20|D20
123|T1|T20|T20
122|T4|T20|BULL
121|T7|T20|D20
120|T20|T20|-
119|T3|T20|BULL
118|T6|T20|D20
117|T19|T20|-
116|T2|T20|BULL
115|T5|T20|D20
114|T18|T20|-
113|T1|T20|BULL
112|T4|T20|D20
111|T17|T20|-
110|T20|BULL|-
109|T3|T20|D20
108|T16|T20|-
107|T19|BULL|-
106|T2|T20|D20
105|T15|T20|-
104|T18|BULL|-
103|T1|T20|D20
102|T14|T20|-
101|T17|BULL|-
100|T20|D20|-
99|T13|T20|-
98|T16|BULL|-
97|T19|D20|-
96|T12|T20|-
95|T15|BULL|-
94|T18|D20|-
93|T11|T20|-
92|T14|BULL|-
91|T17|D20|-
90|T10|T20|-
89|T13|BULL|-
88|T16|D20|-
87|T9|T20|-
86|T12|BULL|-
85|T15|D20|-
84|T8|T20|-
83|T11|BULL|-
82|T14|D20|-
81|T7|T20|-
80|T10|BULL|-
79|T13|D20|-
78|T6|T20|-
77|T9|BULL|-
76|T12|D20|-
75|T5|T20|-
74|T8|BULL|-
73|T11|D20|-
72|T4|T20|-
71|T7|BULL|-
70|T10|D20|-
69|T3|T20|-
68|T6|BULL|-
67|T9|D20|-
66|T2|T20|-
65|T5|BULL|-
64|T8|D20|-
63|T1|T20|-
62|T4|BULL|-
61|T7|D20|-
60|T20|-|-
59|T3|BULL|-
58|T6|D20|-
57|T19|-|-
56|T2|BULL|-
55|T5|D20|-
54|T18|-|-
53|T1|BULL|-
52|T4|D20|-
51|T17|-|-
50|BULL|-|-
49|T3|D20|-
48|T16|-|-
47|T3|D19|-
46|T2|D20|-
45|T15|-|-
44|T2|D19|-
43|T1|D20|-
42|T14|-|-
41|T1|D19|-
40|D20|-|-
39|T13|-|-
38|D19|-|-
37|T1|D17|-
36|T12|-|-
35|T1|D16|-
34|D17|-|-
33|T11|-|-
32|D16|-|-
31|T1|D14|-
30|T10|-|-
29|T1|D13|-
28|D14|-|-
27|T9|-|-
26|D13|-|-
25|S25|-|-
24|T8|-|-
23|T1|D10|-
22|D11|-|-
21|T7|-|-
20|D10|-|-
19|S19|-|-
18|T6|-|-
17|S17|-|-
16|D8|-|-
15|T5|-|-
14|D7|-|-
13|S13|-|-
12|T4|-|-
11|S11|-|-
10|D5|-|-
9|T3|-|-
8|D4|-|-
7|S7|-|-
6|T2|-|-
5|S5|-|-
4|D2|-|-
3|T1|-|-
2|D1|-|-
1|S1|-|-
